id,tc,pretty_formula
mp-1078758,17.1848,Sr2NiRuO6
mp-1078912,15.052096,Sr2HfFeO6
mp-1078941,51.081,Ba2NO6
mp-1079073,22.527622,Pb2CO6
mp-1079088,16.080212,NaAsF6
mp-1079272,18.101496,Sr2ZrVO6
mp-1079339,15.5599785,K2NaMnF6
mp-1079447,18.63242,Ni(ClO)2
mp-1079516,16.155924,Cu(ClO)2
mp-1079577,17.347834,Ni(ClO3)2
mp-1080550,34.380634,KO2F
mp-1080679,16.839048,LiTaF6
mp-1080821,16.317238,
mp-1080828,37.344307,KCuF3
mp-1091363,18.513031,K2TcF6
mp-1094067,15.08149,ScF3
mp-1095079,16.193375,K3AlF6
mp-1095170,17.090973,Sr2FeOsO6
mp-1095258,18.156807,SrMgF4
mp-1095586,15.731544,LiGaH4
mp-1096779,34.908085,Ba4Ce(CuO3)3
mp-1096936,18.852627,CsO2
mp-1096977,15.17454,H2
mp-1097008,19.78528,K2O2
mp-1097775,70.93061,Ba2Cu2O5
mp-1097884,18.137653,BeF2
mp-1097890,27.477114,Eu2Ni2O5
mp-1098107,15.428953,CsNaMg6O7
mp-1099221,16.961779,CsMg6BO7
mp-1099263,19.519077,CsMg6BO8
mp-1099653,89.59021,Sr2Ca6FeCo7O20
mp-1099665,58.30297,Sr2Ca2FeCo3O10
mp-1099669,25.393833,KNa7V7MoO20
mp-1099672,22.160473,Sr5Ca3Mn7FeO20
mp-1099678,38.46622,Sr3CaCo3CuO10
mp-1099694,64.525444,SrCaCo2O5
mp-1099708,67.226,Sr3Ca5Fe4(CoO5)4
mp-1099745,96.73576,SrCa7Fe2(Co3O10)2
mp-1099765,30.392258,Eu2Cu2O5
mp-1099795,25.20452,Ba7Sr(Cu2O5)4
mp-1099798,42.445488,Sr5Ca3Fe2(Co3O10)2
mp-1099799,16.858536,Sr4Ca4TiMn7O20
mp-1099810,47.194584,Sr2Ca6Mn7FeO20
mp-1099816,46.50594,Sr5Ca3FeCo7O20
mp-1099831,53.34738,Ca7MgMn7FeO20
mp-1099847,101.32796,SrCa7FeCo7O20
mp-1099873,22.463165,CaCuO3
mp-1099904,28.047785,Ba2Mn2O5
mp-1099907,93.15779,Ca7MgFeCo7O20
mp-1099952,100.46994,Ca7MgCo7CuO20
mp-1099956,21.757875,KNa7V6(MoO10)2
mp-1100009,61.25375,Sr4Ca4FeCo7O20
mp-1101007,15.318367,Tl5NO5
mp-1101095,16.626202,Cs2MnOF5
mp-1101250,15.925651,TlInO2
mp-1101631,15.344763,AgClO2
mp-1101675,16.255047,NiPtO2
mp-11019,33.004337,GaCuO2
mp-1101987,16.414148,
mp-1102083,17.805172,BaMgF4
mp-1102911,17.000988,SrF2
mp-1103295,16.338285,AlF3
mp-1103527,15.103035,BaBClF4
mp-1103574,18.24462,NaIO4
mp-1104135,15.78584,CaH2F4
mp-1104383,17.739101,
mp-1104549,16.445183,Na2Re(ClO)6
mp-1104925,17.71241,KAlCr2O10
mp-1105,59.035156,BaO2
mp-1105341,18.642696,Na2Pt(ClO)6
mp-1105354,30.872417,Ca2FeCuSO3
mp-1105430,24.611782,Mg(CO3)2
mp-1105435,17.077988,CaFe5As3
mp-1105485,26.890123,Ca2Cr2O5
mp-1105595,15.346135,Zn2SiO5
mp-1106035,30.001518,CaSO6
mp-1106083,20.871727,SrMnOF5
mp-1106089,15.393638,Ba2InGaO5
mp-1106119,16.41981,
mp-1106172,16.797626,BH5NCl
mp-1106197,23.045122,K2MoO2F5
mp-1106386,15.504674,BH6N
mp-1106402,17.762367,Rb2TiOF5
mp-111,27.77885,Ne
mp-1110646,16.387018,Rb2NaNdF6
mp-1110649,17.073662,Rb2LiYF6
mp-1110651,15.291193,Rb2LiSbF6
mp-1110652,16.91238,Rb2LiPrF6
mp-1110653,17.312618,Rb2LiNdF6
mp-1110656,16.444002,Rb2LiBiF6
mp-1110663,16.191408,Rb2NaPrF6
mp-1110829,15.516966,K2NaSbF6
mp-1110830,16.235577,K2NaPrF6
mp-1110831,16.337437,K2NaNdF6
mp-1110833,16.344902,K2NaBiF6
mp-1110834,18.55914,K2LiYF6
mp-1110835,16.47257,K2LiSbF6
mp-1110836,17.908726,K2LiNdF6
mp-1110838,17.012913,K2LiBiF6
mp-1110969,17.862867,Cs2LiYF6
mp-1110971,16.854965,Cs2LiSbF6
mp-1110972,17.705849,Cs2LiPrF6
mp-1110973,18.221004,Cs2LiNdF6
mp-1110976,17.287325,Cs2LiBiF6
mp-1110979,16.47599,Cs2NaSbF6
mp-1110980,17.141468,Cs2NaPrF6
mp-1110981,17.491814,Cs2NaNdF6
mp-1110984,15.646342,Cs2KTaF6
mp-1111020,15.4170685,Cs2KSbF6
mp-1111021,15.349771,Cs2KPrF6
mp-1111079,16.62185,K3ScF6
mp-1111106,16.418451,K2NaGaF6
mp-1111108,16.067356,K2NaAsF6
mp-1111110,20.41776,K2LiScF6
mp-1111150,15.402667,K2LiCoF6
mp-1111658,15.079653,K2LiTlF6
mp-1111671,17.301762,K2LiInF6
mp-1111963,16.466465,Cs2RbScF6
mp-11174,19.705976,K2IrF6
mp-1120790,19.173443,Na2VF5
mp-1120791,17.61456,NaCuO2
mp-11347,17.274853,TbF3
mp-1138,21.424791,LiF
mp-1147544,83.17976,Ba2TlCu3O7
mp-1147653,27.348589,CaCu3O4
mp-1147655,34.828674,Ba4Cu3SnO9
mp-1147660,18.826218,Cu3AsF12
mp-1147676,25.06395,BaAuO2
mp-1147699,31.597967,Ba4Ti(CuO3)3
mp-1147749,18.7044,CaNiO2
mp-1147752,16.038269,KLa(CuO2)2
mp-1147754,28.234463,K3Cu2H7
mp-1147762,52.022186,Ba2CuO4
mp-1147775,48.74229,Ba2OsO4
mp-1147780,16.866066,K2CuH4
mp-1167,22.017155,CF4
mp-1173231,42.549377,Sr4CaYCo2(Cu2O7)2
mp-1173287,28.947502,Sr2Ca2Cu3BiO8
